84.205.64.0/24	RRC00 - RIPE NCC	Amsterdam, NL
84.205.65.0/24	RRC01 - LINX	London, UK
84.205.67.0/24	RRC03 - AMS-IX, NL-IX	Amsterdam, NL
84.205.68.0/24	RRC04 - CIXP	Geneva, CH
84.205.69.0/24	RRC05 - VIX	Vienna, AT
84.205.70.0/24	RRC06 - DIX-IE	Otematchi, JP
84.205.71.0/24	RRC07 - NETNOD	Stockholm, SE
84.205.74.0/24	RRC10 - MIX	Milan, IT
84.205.75.0/24	RRC11 - NYIIX	New York , NY, US
84.205.76.0/24	RRC12 - DE-CIX	Frankfurt, DE
84.205.77.0/24	RRC13 - MSK-IX	Moscow, RU
84.205.78.0/24	RRC14 - PAIX	Palo Alto, CA, US
84.205.79.0/24	RRC15 - PTTMetro-SP	Sao Paulo, BR
84.205.73.0/24	RRC16 - NOTA	Miami, FL, US
2001:7FB:FE00::/48	RRC00 - RIPE NCC	Amsterdam, NL
2001:7FB:FE01::/48	RRC01 - LINX	London, UK
2001:7FB:FE03::/48	RRC03 - AMS-IX, NL-IX	Amsterdam, NL
2001:7FB:FE04::/48	RRC04 - CIXP	Geneva, CH
2001:7FB:FE05::/48	RRC05 - VIX	Vienna, AT
2001:7FB:FE06::/48	RRC06 - DIX-IE	Otematchi, JP
2001:7FB:FE07::/48	RRC07 - NETNOD	Stockholm, SE
2001:7FB:FE0A::/48	RRC10 - MIX	Milan, IT
2001:7FB:FE0B::/48	RRC11 - NYIIX	New York , NY, US
2001:7FB:FE0C::/48	RRC12 - DE-CIX	Frankfurt, DE
2001:7FB:FE0D::/48	RRC13 - MSK-IX	Moscow, RU
2001:7FB:FE0E::/48	RRC14 - PAIX	Palo Alto, CA, US
2001:7FB:FE0F::/48	RRC15 - PTTMetro-SP	Sao Paulo, BR
2001:7FB:FE10::/48	RRC16 - NOTA	Miami, FL, US
